Bulbasaur,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
5,1,15,15,39,1497,130,0.9986
6,1,15,13,39.5,1499,129,0.998
7,1,15,11,40,1500,128,0.9974
8,0,12,15,40,1493,131,0.9928
9,0,14,15,39.5,1493,130,0.9924
10,0,13,14,40,1494,130,0.9924
11,0,15,15,39,1488,130,0.9923
12,1,11,15,40,1497,131,0.9918
13,0,14,13,40,1495,129,0.9918
14,0,15,14,39.5,1494,129,0.9918
15,0,15,13,39.5,1489,129,0.9918
16,1,13,15,39.5,1497,130,0.9915
17,1,14,15,39,1492,130,0.9915
18,1,12,14,40,1498,130,0.9915
19,0,15,12,40,1496,128,0.9912
20,0,15,11,40,1491,128,0.9912
4096,0,0,0,40,1361,119,0.8234
,,,,,,,
Charizard,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,15,13,19.5,1500,117,1
2,0,13,15,19.5,1500,118,0.9978
3,1,15,11,19.5,1500,116,0.9959
4,0,14,14,19.5,1500,117,0.9947
5,0,14,13,19.5,1496,117,0.9947
6,1,13,13,19.5,1499,117,0.9938
7,0,12,15,19.5,1496,118,0.9925
8,4,15,15,19,1496,117,0.9918
9,2,15,9,19.5,1499,115,0.9917
10,1,11,15,19.5,1498,118,0.9915
11,0,15,12,19.5,1497,116,0.9915
12,0,15,11,19.5,1493,116,0.9915
13,5,14,15,19,1498,117,0.9909
14,1,14,12,19.5,1499,116,0.9906
15,1,14,11,19.5,1496,116,0.9906
16,2,13,11,19.5,1498,116,0.9897
17,0,13,14,19.5,1496,117,0.9894
18,0,13,13,19.5,1492,117,0.9894
19,0,13,5,20,1500,114,0.9887
20,1,12,14,19.5,1499,117,0.9885
4096,15,3,1,19,1463,108,0.8986
,,,,,,,
Mega Charizard X,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,11,15,14.5,1499,102,1
2,0,13,13,14.5,1498,101,0.999
3,1,12,13,14.5,1500,101,0.9983
4,0,15,11,14.5,1497,100,0.9979
5,1,14,11,14.5,1499,100,0.9972
6,0,10,15,14.5,1495,102,0.9955
7,2,15,9,14.5,1500,99,0.9952
8,1,9,15,14.5,1497,102,0.9947
9,0,12,14,14.5,1498,101,0.9946
10,0,12,13,14.5,1494,101,0.9946
11,2,8,15,14.5,1499,102,0.9938
12,1,11,14,14.5,1500,101,0.9938
13,1,11,13,14.5,1497,101,0.9938
14,0,14,12,14.5,1497,100,0.9935
15,0,14,11,14.5,1493,100,0.9935
16,2,10,13,14.5,1499,101,0.993
17,1,13,12,14.5,1499,100,0.9928
18,1,13,11,14.5,1496,100,0.9928
19,2,12,11,14.5,1498,100,0.992
20,1,15,10,14.5,1498,99,0.9915
4096,15,3,2,14,1450,93,0.8955
,,,,,,,
Mega Charizard Y,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,10,15,15,1500,95,1
2,0,12,13,15,1499,94,0.9992
3,0,14,11,15,1498,93,0.9982
4,1,13,11,15,1500,93,0.9968
5,1,15,9,15,1498,92,0.9957
6,0,9,15,15,1496,95,0.9951
7,0,11,14,15,1499,94,0.9943
8,0,11,13,15,1495,94,0.9943
9,2,14,9,15,1500,92,0.9943
10,1,8,15,15,1498,95,0.9936
11,0,13,12,15,1499,93,0.9934
12,0,13,11,15,1494,93,0.9934
13,7,15,14,14.5,1499,93,0.993
14,1,10,13,15,1497,94,0.9929
15,0,15,10,15,1497,92,0.9923
16,0,15,9,15,1493,92,0.9923
17,2,7,15,15,1499,95,0.992
18,1,12,12,15,1500,93,0.992
19,1,12,11,15,1496,93,0.992
20,3,15,7,15,1500,91,0.9916
4096,15,7,0,14.5,1451,85,0.8962
,,,,,,,
Squirtle,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,15,15,15,40,946,112,1
2,15,14,15,40,942,112,0.9926
3,15,15,14,40,942,111,0.9911
4,14,15,15,40,937,112,0.9908
5,15,13,15,40,939,112,0.9853
6,15,15,15,39.5,939,111,0.984
7,15,15,14,39.5,936,111,0.984
8,15,14,14,40,939,111,0.9838
9,14,14,15,40,933,112,0.9835
10,15,15,13,40,939,110,0.9821
11,14,15,14,40,934,111,0.982
12,13,15,15,40,928,112,0.9817
13,15,12,15,40,935,112,0.9779
14,15,15,15,39,932,111,0.9769
15,15,14,15,39.5,935,111,0.9768
16,15,14,14,39.5,932,111,0.9768
17,15,13,14,40,935,111,0.9765
18,14,13,15,40,930,112,0.9763
19,15,15,13,39.5,932,110,0.9751
20,14,15,15,39.5,930,111,0.975
4096,0,0,0,40,727,100,0.6851
,,,,,,,
Wartortle,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,15,15,15,40,1488,132,1
2,15,14,15,40,1483,132,0.9941
3,14,15,15,40,1477,132,0.9929
4,15,15,15,39.5,1477,132,0.9929
5,15,15,14,40,1483,131,0.9924
6,15,15,13,40,1479,131,0.9924
7,15,13,15,40,1479,132,0.9882
8,14,14,15,40,1473,132,0.9871
9,15,14,15,39.5,1473,132,0.987
10,15,14,14,40,1479,131,0.9866
11,15,14,13,40,1475,131,0.9866
12,14,15,15,39.5,1467,132,0.9858
13,13,15,15,40,1467,132,0.9858
14,14,15,14,40,1473,131,0.9854
15,14,15,13,40,1468,131,0.9854
16,15,15,14,39.5,1473,131,0.9853
17,15,15,12,40,1474,130,0.9848
18,15,12,15,40,1475,132,0.9824
19,14,13,15,40,1468,132,0.9812
20,15,13,15,39.5,1468,132,0.9812
4096,0,0,0,40,1211,120,0.7407
,,,,,,,
Blastoise,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,1,15,15,23,1498,130,1
2,2,13,15,23,1500,130,0.9968
3,0,14,10,23.5,1500,128,0.9957
4,1,14,15,23,1495,130,0.9955
5,0,12,12,23.5,1500,129,0.9944
6,0,15,15,23,1489,130,0.9942
7,2,14,14,23,1500,129,0.9936
8,0,10,13,23.5,1497,130,0.9929
9,0,15,9,23.5,1499,127,0.9923
10,1,15,14,23,1494,129,0.9923
11,2,12,15,23,1497,130,0.9922
12,0,8,15,23.5,1498,131,0.9913
13,0,13,11,23.5,1500,128,0.9912
14,0,13,10,23.5,1496,128,0.9912
15,1,13,15,23,1491,130,0.991
16,2,15,13,23,1499,128,0.9903
17,2,15,12,23,1496,128,0.9903
18,1,15,7,23.5,1500,126,0.9903
19,0,11,12,23.5,1497,129,0.9898
20,0,14,15,23,1486,130,0.9897
4096,14,0,1,22.5,1469,119,0.8981
,,,,,,,
Mega Blastoise,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,1,15,15,14,1497,101,1
2,2,14,15,14,1500,101,0.9998
3,0,15,15,14,1491,101,0.9962
4,1,14,15,14,1494,101,0.996
5,2,13,15,14,1497,101,0.9958
6,3,12,15,14,1499,101,0.9956
7,2,15,14,14,1499,100,0.9938
8,2,15,13,14,1495,100,0.9938
9,3,14,13,14,1498,100,0.9936
10,0,13,5,14.5,1500,98,0.9932
11,0,8,9,14.5,1500,100,0.9932
12,0,3,13,14.5,1500,102,0.9924
13,0,14,15,14,1488,101,0.9923
14,1,13,15,14,1491,101,0.9921
15,2,12,15,14,1494,101,0.9918
16,3,11,15,14,1496,101,0.9916
17,4,15,11,14,1499,99,0.9913
18,0,10,7,14.5,1499,99,0.9913
19,4,10,15,14,1499,101,0.9913
20,0,15,3,14.5,1498,97,0.9909
4096,11,0,0,14,1450,93,0.8987
,,,,,,,
Caterpie,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,15,15,15,40,437,113,1
2,15,15,14,40,435,112,0.9912
3,15,14,15,40,434,113,0.9857
4,14,15,15,40,431,113,0.9857
5,15,15,15,39.5,434,112,0.9841
6,15,15,13,40,434,111,0.9823
7,15,15,15,39,431,112,0.977
8,15,14,14,40,432,112,0.977
9,14,15,14,40,429,112,0.977
10,15,15,14,39.5,432,111,0.9753
11,15,15,13,39.5,431,111,0.9753
12,15,15,12,40,432,110,0.9735
13,14,14,15,40,428,113,0.9716
14,15,13,15,40,431,113,0.9714
15,13,15,15,40,424,113,0.9714
16,15,14,15,39.5,431,112,0.97
17,14,15,15,39.5,428,112,0.97
18,15,15,14,39,429,111,0.9683
19,15,14,13,40,431,111,0.9683
20,14,15,13,40,428,111,0.9683
4096,0,0,0,40,288,101,0.5518
,,,,,,,
Metapod,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,15,15,15,40,450,120,1
2,15,15,14,40,448,119,0.9917
3,15,14,15,40,447,120,0.9895
4,15,15,15,39.5,447,119,0.9846
5,15,15,13,40,447,118,0.9833
6,14,15,15,40,442,120,0.9833
7,15,14,14,40,446,119,0.9812
8,15,13,15,40,445,120,0.9789
9,15,15,15,39,443,119,0.9775
10,15,15,14,39.5,445,118,0.9763
11,15,15,13,39.5,444,118,0.9763
12,14,15,14,40,441,119,0.9751
13,15,15,12,40,445,117,0.975
14,15,14,15,39.5,444,119,0.9742
15,15,14,13,40,444,118,0.973
16,14,14,15,40,440,120,0.973
17,15,13,14,40,444,119,0.9708
18,15,15,14,39,442,118,0.9693
19,15,12,15,40,443,120,0.9684
20,14,15,15,39.5,439,119,0.9682
4096,0,0,0,40,294,108,0.5684
,,,,,,,
Butterfree,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,13,15,33,1499,127,1
2,0,14,14,33,1499,126,0.9987
3,0,15,15,32.5,1497,126,0.9974
4,0,15,14,32.5,1492,126,0.9974
5,0,15,13,33,1500,125,0.9974
6,0,15,12,33,1495,125,0.9974
7,0,15,10,33.5,1498,124,0.9972
8,1,14,14,32.5,1496,126,0.9968
9,1,14,12,33,1499,125,0.9967
10,2,13,14,32.5,1500,126,0.996
11,1,15,13,32.5,1497,125,0.9954
12,1,15,15,32,1494,126,0.9953
13,1,15,11,33,1500,124,0.9953
14,2,14,15,32,1497,126,0.9947
15,0,11,15,33.5,1500,127,0.9945
16,0,11,14,33.5,1496,127,0.9945
17,0,11,12,34,1499,126,0.9944
18,1,10,14,33.5,1500,127,0.9937
19,0,12,15,33,1494,127,0.9933
20,0,12,13,33.5,1497,126,0.9933
4096,15,2,0,32.5,1489,115,0.9072
,,,,,,,
Weedle,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,15,15,15,40,456,106,1
2,15,15,15,39.5,453,106,0.9929
3,15,15,14,40,454,105,0.9906
4,15,15,13,40,452,105,0.9906
5,14,15,15,40,450,106,0.9872
6,15,14,15,40,452,106,0.9846
7,15,15,14,39.5,451,105,0.9835
8,15,15,12,40,451,104,0.9811
9,14,15,15,39.5,447,106,0.9801
10,14,15,14,40,448,105,0.9779
11,14,15,13,40,447,105,0.9779
12,15,14,15,39.5,449,106,0.9776
13,15,15,15,39,449,105,0.9764
14,15,15,14,39,448,105,0.9764
15,15,14,14,40,451,105,0.9753
16,15,14,13,40,449,105,0.9753
17,13,15,15,40,444,106,0.9744
18,15,15,13,39.5,449,104,0.9741
19,14,14,15,40,447,106,0.972
20,15,15,11,40,449,103,0.9717
4096,0,0,0,40,304,94,0.551
,,,,,,,
Kakuna,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,15,15,15,40,432,113,1
2,15,15,14,40,430,112,0.9912
3,15,14,15,40,429,113,0.9889
4,15,15,15,39.5,429,112,0.9841
5,14,15,15,40,425,113,0.9836
6,15,15,13,40,429,111,0.9823
7,15,14,14,40,428,112,0.9801
8,15,13,15,40,427,113,0.9778
9,15,15,15,39,426,112,0.977
10,15,15,14,39.5,427,111,0.9753
11,15,15,13,39.5,426,111,0.9753
12,14,15,14,40,423,112,0.9749
13,15,15,12,40,427,110,0.9735
14,15,14,15,39.5,426,112,0.9731
15,14,14,15,40,422,113,0.9727
16,15,14,13,40,426,111,0.9714
17,15,13,14,40,425,112,0.9691
18,15,15,14,39,424,111,0.9683
19,14,15,15,39.5,422,112,0.9679
20,13,15,15,40,418,113,0.9672
4096,0,0,0,40,281,101,0.5617
,,,,,,,
Beedrill,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,13,14,32.5,1499,132,1
2,0,14,13,32.5,1500,131,0.9994
3,0,14,15,32,1496,132,0.9989
4,0,15,14,32,1497,131,0.9983
5,1,13,15,32,1500,132,0.9979
6,1,15,12,32,1498,130,0.9965
7,1,15,15,31.5,1498,131,0.9961
8,1,15,14,31.5,1494,131,0.9961
9,2,14,14,31.5,1498,131,0.995
10,0,10,15,33,1499,133,0.9943
11,2,15,13,31.5,1499,130,0.9943
12,0,11,14,33,1500,132,0.9939
13,2,15,15,31,1495,131,0.9938
14,0,12,10,33.5,1500,130,0.9936
15,0,12,12,33,1497,131,0.9934
16,0,12,15,32.5,1498,132,0.993
17,0,12,14,32.5,1494,132,0.993
18,0,13,11,33,1498,130,0.9927
19,3,14,15,31,1498,131,0.9927
20,0,13,13,32.5,1495,131,0.9924
4096,15,1,1,32,1492,121,0.907
,,,,,,,
Mega Beedrill,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,11,15,16.5,1500,96,1
2,0,11,14,16.5,1496,96,1
3,5,15,15,16,1498,95,1
4,0,14,11,16.5,1497,94,0.9976
5,6,14,15,16,1498,95,0.9971
6,1,10,14,16.5,1496,96,0.997
7,4,15,15,16,1493,95,0.9967
8,1,15,9,16.5,1498,93,0.9964
9,7,15,13,16,1499,94,0.9959
10,0,12,13,16.5,1497,95,0.9958
11,1,13,11,16.5,1498,94,0.9948
12,7,13,15,16,1498,95,0.9941
13,2,9,14,16.5,1497,96,0.9939
14,5,14,15,16,1493,95,0.9938
15,0,10,15,16.5,1496,96,0.9937
16,0,10,14,16.5,1492,96,0.9937
17,2,14,9,16.5,1499,93,0.9935
18,3,15,15,16,1488,95,0.9935
19,0,15,10,16.5,1498,93,0.9931
20,0,15,9,16.5,1493,93,0.9931
4096,15,0,1,16.5,1458,88,0.8955
,,,,,,,
Pidgey,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,15,15,15,40,680,106,1
2,15,15,15,39.5,675,106,0.9929
3,15,15,14,40,678,105,0.9906
4,15,15,13,40,675,105,0.9906
5,14,15,15,40,673,106,0.99
6,15,14,15,40,676,106,0.9886
7,15,15,14,39.5,673,105,0.9835
8,14,15,15,39.5,669,106,0.9829
9,15,14,15,39.5,672,106,0.9816
10,15,15,12,40,673,104,0.9811
11,14,15,14,40,671,105,0.9807
12,14,15,13,40,668,105,0.9807
13,13,15,15,40,667,106,0.98
14,15,14,14,40,674,105,0.9793
15,15,14,13,40,671,105,0.9793
16,14,14,15,40,670,106,0.9788
17,15,13,15,40,672,106,0.9773
18,15,15,15,39,671,105,0.9764
19,15,15,14,39,668,105,0.9764
20,15,15,13,39.5,670,104,0.9741
4096,0,0,0,40,496,94,0.6253
,,,,,,,
Pidgeotto,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,15,15,15,40,1194,138,1
2,15,15,14,40,1191,137,0.9928
3,14,15,15,40,1185,138,0.9924
4,15,14,15,40,1189,138,0.9917
5,15,15,15,39.5,1186,137,0.9857
6,15,15,14,39.5,1182,137,0.9857
7,15,15,13,40,1187,136,0.9855
8,14,15,14,40,1182,137,0.9852
9,13,15,15,40,1176,138,0.9848
10,15,14,14,40,1186,137,0.9845
11,14,14,15,40,1180,138,0.9842
12,15,13,15,40,1184,138,0.9833
13,15,15,15,39,1177,137,0.9786
14,15,15,13,39.5,1179,136,0.9785
15,15,15,12,40,1184,135,0.9783
16,15,15,11,40,1180,135,0.9783
17,14,15,15,39.5,1177,137,0.9782
18,14,15,14,39.5,1173,137,0.9782
19,14,15,13,40,1178,136,0.978
20,13,15,14,40,1173,137,0.9777
4096,0,0,0,40,947,126,0.7081
,,,,,,,
Pidgeot,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,14,14,27,1498,145,1
2,0,15,13,27,1499,144,0.999
3,0,10,12,27.5,1500,145,0.9943
4,1,12,14,27,1498,145,0.994
5,0,13,15,27,1497,145,0.994
6,0,13,14,27,1494,145,0.994
7,1,13,13,27,1499,144,0.9931
8,0,14,13,27,1495,144,0.9931
9,2,15,15,26.5,1496,144,0.9923
10,1,14,12,27,1500,143,0.9921
11,0,15,12,27,1496,143,0.9921
12,0,13,8,27.5,1499,142,0.9915
13,3,15,13,26.5,1498,143,0.9913
14,1,15,10,27,1497,142,0.9911
15,0,14,7,27.5,1500,141,0.9904
16,0,7,15,27.5,1497,147,0.9895
17,0,15,5,27.5,1497,140,0.9892
18,0,8,14,27.5,1499,146,0.9889
19,0,9,13,27.5,1500,145,0.9882
20,0,9,12,27.5,1496,145,0.9882
4096,15,4,0,26,1474,132,0.8989
,,,,,,,
Mega Pidgeot,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,1,15,14,15,1498,108,1
2,2,14,14,15,1500,108,0.9983
3,0,15,15,15,1497,108,0.9964
4,0,15,14,15,1493,108,0.9964
5,1,14,15,15,1498,108,0.9947
6,1,14,14,15,1495,108,0.9947
7,2,15,13,15,1500,107,0.9943
8,2,15,12,15,1497,107,0.9943
9,2,13,15,15,1499,108,0.993
10,2,13,14,15,1496,108,0.993
11,3,14,12,15,1498,107,0.9925
12,4,15,10,15,1500,106,0.992
13,3,12,14,15,1497,108,0.9912
14,0,14,15,15,1493,108,0.9912
15,0,14,14,15,1489,108,0.9912
16,4,13,12,15,1499,107,0.9908
17,1,15,13,15,1495,107,0.9907
18,1,15,12,15,1491,107,0.9907
19,1,13,15,15,1494,108,0.9895
20,1,13,14,15,1491,108,0.9895
4096,14,0,0,15,1453,100,0.8923
,,,,,,,
Rattata,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,15,15,15,40,734,92,1
2,15,15,15,39.5,729,92,0.9929
3,14,15,15,40,728,92,0.9915
4,15,15,14,40,731,91,0.9891
5,15,14,15,40,730,92,0.9882
6,14,15,15,39.5,723,92,0.9844
7,13,15,15,40,722,92,0.9831
8,15,15,14,39.5,726,91,0.9821
9,15,14,15,39.5,725,92,0.9812
10,14,15,14,40,725,91,0.9807
11,14,14,15,40,724,92,0.9799
12,15,15,13,40,728,90,0.9783
13,15,15,12,40,725,90,0.9783
14,15,14,14,40,727,91,0.9775
15,15,13,15,40,726,92,0.9765
16,13,15,15,39.5,717,92,0.976
17,15,15,15,39,724,91,0.975
18,15,15,14,39,721,91,0.975
19,12,15,15,40,716,92,0.9746
20,14,15,14,39.5,720,91,0.9737
4096,0,0,0,40,543,80,0.6251
,,,,,,,
Alolan Rattata,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,15,15,15,40,734,92,1
2,15,15,15,39.5,729,92,0.9929
3,14,15,15,40,728,92,0.9915
4,15,15,14,40,731,91,0.9891
5,15,14,15,40,730,92,0.9882
6,14,15,15,39.5,723,92,0.9844
7,13,15,15,40,722,92,0.9831
8,15,15,14,39.5,726,91,0.9821
9,15,14,15,39.5,725,92,0.9812
10,14,15,14,40,725,91,0.9807
11,14,14,15,40,724,92,0.9799
12,15,15,13,40,728,90,0.9783
13,15,15,12,40,725,90,0.9783
14,15,14,14,40,727,91,0.9775
15,15,13,15,40,726,92,0.9765
16,13,15,15,39.5,717,92,0.976
17,15,15,15,39,724,91,0.975
18,15,15,14,39,721,91,0.975
19,12,15,15,40,716,92,0.9746
20,14,15,14,39.5,720,91,0.9737
4096,0,0,0,40,543,80,0.6251
,,,,,,,
Raticate,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,14,15,36.5,1499,124,1
2,0,15,14,36.5,1499,123,0.9984
3,2,15,15,35.5,1500,123,0.9956
4,0,12,15,37,1500,124,0.9943
5,0,13,15,36.5,1494,124,0.9935
6,1,12,15,36.5,1498,124,0.9931
7,0,13,14,37,1500,123,0.9929
8,0,14,14,36.5,1494,123,0.9919
9,1,13,14,36.5,1499,123,0.9916
10,0,14,12,37,1496,122,0.9913
11,0,15,15,36,1492,123,0.9909
12,1,13,12,37,1500,122,0.9909
13,1,14,15,36,1497,123,0.9906
14,0,14,10,37.5,1498,121,0.9905
15,0,15,13,36.5,1494,122,0.9903
16,1,14,13,36.5,1499,122,0.99
17,0,15,11,37,1496,121,0.9896
18,1,15,15,35.5,1490,123,0.9895
19,1,14,11,37,1500,121,0.9892
20,2,14,15,35.5,1495,123,0.9892
4096,0,0,0,40,1432,115,0.8869
,,,,,,,
Alolan Raticate,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,13,14,39,1499,153,1
2,0,14,13,39,1500,152,0.9994
3,0,14,15,38.5,1497,153,0.9987
4,0,15,14,38.5,1497,152,0.9981
5,0,10,15,39.5,1500,154,0.9956
6,1,12,15,38.5,1499,153,0.9941
7,0,13,11,39.5,1499,151,0.9941
8,0,12,15,39,1499,153,0.994
9,0,12,14,39,1495,153,0.994
10,1,13,14,38.5,1500,152,0.9936
11,0,13,13,39,1495,152,0.9935
12,0,14,10,39.5,1499,150,0.9934
13,2,14,13,38,1500,151,0.993
14,1,14,13,38.5,1500,151,0.9929
15,0,14,12,39,1496,151,0.9928
16,1,15,9,39,1500,149,0.9928
17,0,13,15,38.5,1492,153,0.9928
18,0,15,9,39.5,1500,149,0.9927
19,1,15,11,38.5,1497,150,0.9922
20,1,14,15,38,1497,152,0.9922
4096,0,0,0,40,1407,143,0.8744
,,,,,,,
Spearow,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,15,15,15,40,798,106,1
2,15,15,15,39.5,792,106,0.9929
3,14,15,15,40,791,106,0.9921
4,15,15,14,40,795,105,0.9906
5,15,15,13,40,792,105,0.9906
6,15,14,15,40,792,106,0.9867
7,14,15,15,39.5,786,106,0.985
8,13,15,15,40,785,106,0.9843
9,15,15,14,39.5,789,105,0.9835
10,14,15,14,40,788,105,0.9828
11,14,15,13,40,785,105,0.9828
12,15,15,12,40,789,104,0.9811
